date,temp_max,temp_min,precipitation_sum,precipitation_probability_max,windspeed_max,windgusts_max,weathercode,city,lat,lng
2026-09-16,25.7,21.2,0.0,0,13.9,36.4,45,Casablanca,33.5992,-7.62
2026-09-17,25.6,19.9,0.0,0,12.2,34.9,3,Casablanca,33.5992,-7.62
2026-09-18,25.0,18.9,0.0,0,13.0,34.9,45,Casablanca,33.5992,-7.62
2026-09-19,26.8,19.0,0.0,0,12.6,32.8,45,Casablanca,33.5992,-7.62
2026-09-20,29.5,21.8,0.0,0,10.5,28.8,2,Casablanca,33.5992,-7.62
2026-09-21,30.2,22.5,0.0,0,12.7,36.0,45,Casablanca,33.5992,-7.62
2026-09-22,29.1,21.7,0.0,0,11.5,30.2,45,Casablanca,33.5992,-7.62
2026-09-16,26.2,17.6,0.0,0,18.8,44.6,3,Tangier,35.7767,-5.8039
2026-09-17,26.8,17.9,0.0,0,12.4,29.5,3,Tangier,35.7767,-5.8039
2026-09-18,28.2,18.9,0.0,0,18.3,43.6,3,Tangier,35.7767,-5.8039
2026-09-19,27.8,21.9,0.0,0,29.8,72.7,2,Tangier,35.7767,-5.8039
2026-09-20,27.9,23.3,0.0,0,31.7,78.5,1,Tangier,35.7767,-5.8039
2026-09-21,26.6,22.6,0.0,0,38.9,74.9,1,Tangier,35.7767,-5.8039
2026-09-22,26.9,21.8,0.0,0,30.6,57.6,1,Tangier,35.7767,-5.8039
2026-09-16,31.7,20.9,0.0,0,17.4,43.2,1,Fès,34.0433,-5.0033
2026-09-17,28.7,18.5,0.0,0,11.5,31.0,3,Fès,34.0433,-5.0033
2026-09-18,31.1,17.9,0.0,0,10.5,28.1,3,Fès,34.0433,-5.0033
2026-09-19,34.1,20.8,0.0,0,16.4,41.8,1,Fès,34.0433,-5.0033
2026-09-20,35.3,22.0,0.0,3,16.4,41.8,2,Fès,34.0433,-5.0033
2026-09-21,34.8,21.9,0.0,0,13.9,35.6,1,Fès,34.0433,-5.0033
2026-09-22,35.3,20.7,0.0,0,10.2,25.6,3,Fès,34.0433,-5.0033
2026-09-16,34.8,21.9,0.0,0,12.7,34.9,1,Marrakech,31.6295,-7.9811
2026-09-17,30.4,18.7,0.0,0,10.5,31.0,2,Marrakech,31.6295,-7.9811
2026-09-18,31.9,18.9,0.0,0,7.6,22.7,3,Marrakech,31.6295,-7.9811
2026-09-19,35.8,20.8,0.3,0,7.8,24.1,80,Marrakech,31.6295,-7.9811
2026-09-20,39.0,24.2,0.3,23,11.9,36.4,3,Marrakech,31.6295,-7.9811
2026-09-21,37.7,24.1,0.0,3,18.2,31.7,3,Marrakech,31.6295,-7.9811
2026-09-22,37.6,24.2,0.6,3,16.4,29.5,3,Marrakech,31.6295,-7.9811
